T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
328.0,312.0,304.0,288.0,276.0,260.0,248.0,228.0,216.0,204.0,196.0,180.0,168.0,148.0,140.0,124.0,116.0,100.0,92.0,80.0,72.0,56.0,48.0,28.0,12.0,-8.0,-16.0,-32.0,-40.0,-48.0,-52.0,-40.0,-40.0,-40.0,-44.0,-56.0,-64.0,-56.0,-56.0,-52.0,-52.0,-48.0,-44.0,-44.0,-40.0,-36.0,-32.0,-24.0,-20.0,-16.0,32,0
333.0,321.0,305.0,297.0,281.0,273.0,261.0,253.0,237.0,229.0,217.0,205.0,193.0,181.0,165.0,153.0,137.0,129.0,113.0,101.0,89.0,81.0,61.0,49.0,37.0,25.0,5.0,-7.0,-15.0,-23.0,-31.0,-31.0,-19.0,-11.0,-27.0,-27.0,-35.0,-43.0,-51.0,-43.0,-39.0,-39.0,-31.0,-31.0,-27.0,-27.0,-19.0,-19.0,-11.0,-7.0,33,0
329.0,321.0,305.0,297.0,281.0,273.0,257.0,249.0,233.0,225.0,209.0,197.0,181.0,173.0,161.0,149.0,137.0,125.0,109.0,97.0,77.0,65.0,49.0,37.0,17.0,1.0,-15.0,-27.0,-27.0,-31.0,-35.0,-27.0,-19.0,-27.0,-23.0,-27.0,-39.0,-47.0,-39.0,-35.0,-27.0,-23.0,-19.0,-15.0,-7.0,-3.0,9.0,13.0,21.0,25.0,33,0
287.5,279.5,263.5,251.5,235.5,227.5,211.5,203.5,187.5,179.5,167.5,159.5,143.5,135.5,127.5,115.5,103.5,95.5,79.5,67.5,51.5,39.5,27.5,15.5,-0.5,-4.5,-12.5,-16.5,-24.5,-28.5,-32.5,-28.5,-16.5,-12.5,-12.5,-20.5,-24.5,-32.5,-36.5,-36.5,-32.5,-32.5,-28.5,-24.5,-20.5,-20.5,-16.5,-12.5,-8.5,-4.5,33,0
290.0,278.0,270.0,258.0,250.0,234.0,226.0,210.0,202.0,186.0,178.0,162.0,154.0,138.0,130.0,118.0,110.0,98.0,86.0,74.0,62.0,50.0,42.0,26.0,14.0,2.0,-2.0,-14.0,-26.0,-30.0,-34.0,-34.0,-26.0,-18.0,-26.0,-30.0,-34.0,-46.0,-50.0,-46.0,-42.0,-38.0,-34.0,-30.0,-30.0,-26.0,-22.0,-18.0,-14.0,-10.0,33,0
314.5,298.5,286.5,270.5,258.5,242.5,234.5,218.5,210.5,194.5,186.5,174.5,166.5,150.5,138.5,122.5,110.5,102.5,90.5,78.5,70.5,50.5,42.5,22.5,10.5,-1.5,-9.5,-21.5,-29.5,-45.5,-49.5,-45.5,-45.5,-45.5,-45.5,-53.5,-61.5,-69.5,-69.5,-61.5,-61.5,-57.5,-57.5,-57.5,-53.5,-49.5,-49.5,-41.5,-37.5,-29.5,33,0
309.0,297.0,289.0,277.0,265.0,249.0,237.0,225.0,213.0,201.0,189.0,177.0,169.0,157.0,145.0,129.0,121.0,109.0,97.0,81.0,69.0,57.0,49.0,33.0,21.0,5.0,-3.0,-15.0,-31.0,-35.0,-31.0,-27.0,-23.0,-31.0,-35.0,-47.0,-47.0,-43.0,-39.0,-39.0,-35.0,-31.0,-31.0,-27.0,-23.0,-23.0,-23.0,-19.0,-19.0,-11.0,32,0
335.0,327.0,311.0,299.0,283.0,275.0,259.0,247.0,235.0,223.0,207.0,199.0,183.0,171.0,159.0,147.0,131.0,123.0,103.0,95.0,79.0,67.0,51.0,39.0,23.0,11.0,-9.0,-17.0,-33.0,-41.0,-49.0,-41.0,-41.0,-33.0,-37.0,-41.0,-53.0,-57.0,-57.0,-53.0,-49.0,-49.0,-45.0,-41.0,-37.0,-33.0,-29.0,-25.0,-13.0,-9.0,31,0
314.5,306.5,294.5,286.5,266.5,262.5,246.5,234.5,222.5,214.5,202.5,190.5,178.5,170.5,154.5,146.5,126.5,118.5,102.5,94.5,78.5,66.5,50.5,38.5,18.5,6.5,-13.5,-17.5,-21.5,-33.5,-33.5,-33.5,-21.5,-29.5,-33.5,-37.5,-45.5,-45.5,-45.5,-49.5,-45.5,-41.5,-37.5,-37.5,-33.5,-25.5,-25.5,-21.5,-13.5,-5.5,31,0
313.5,301.5,289.5,277.5,261.5,249.5,233.5,225.5,209.5,209.5,189.5,181.5,165.5,153.5,137.5,129.5,109.5,101.5,85.5,73.5,61.5,49.5,37.5,29.5,13.5,5.5,-6.5,-10.5,-30.5,-30.5,-34.5,-34.5,-30.5,-30.5,-34.5,-34.5,-54.5,-58.5,-46.5,-50.5,-38.5,-38.5,-34.5,-34.5,-34.5,-30.5,-26.5,-18.5,-10.5,-6.5,33,0
288.0,280.0,264.0,256.0,244.0,236.0,224.0,212.0,200.0,188.0,176.0,168.0,156.0,144.0,136.0,124.0,108.0,100.0,88.0,84.0,72.0,64.0,52.0,44.0,28.0,20.0,4.0,-16.0,-20.0,-24.0,-32.0,-28.0,-24.0,-28.0,-28.0,-32.0,-48.0,-48.0,-44.0,-44.0,-40.0,-36.0,-32.0,-32.0,-24.0,-24.0,-20.0,-20.0,-12.0,-8.0,33,0
313.0,301.0,285.0,277.0,265.0,253.0,241.0,233.0,217.0,209.0,193.0,185.0,173.0,165.0,153.0,145.0,129.0,121.0,109.0,97.0,81.0,73.0,61.0,49.0,37.0,29.0,9.0,-3.0,-19.0,-31.0,-39.0,-27.0,-19.0,-23.0,-35.0,-39.0,-59.0,-55.0,-51.0,-51.0,-43.0,-47.0,-35.0,-35.0,-35.0,-31.0,-27.0,-23.0,-15.0,-11.0,33,0
366.0,358.0,342.0,330.0,310.0,302.0,282.0,270.0,254.0,246.0,230.0,218.0,206.0,198.0,182.0,170.0,154.0,142.0,126.0,118.0,102.0,90.0,78.0,62.0,50.0,42.0,22.0,10.0,-6.0,-22.0,-38.0,-42.0,-34.0,-30.0,-42.0,-42.0,-54.0,-58.0,-58.0,-54.0,-54.0,-46.0,-46.0,-42.0,-42.0,-38.0,-34.0,-30.0,-22.0,-18.0,33,0
329.5,313.5,301.5,285.5,273.5,257.5,249.5,233.5,221.5,205.5,197.5,181.5,173.5,153.5,145.5,125.5,117.5,101.5,89.5,73.5,65.5,49.5,37.5,17.5,1.5,-18.5,-26.5,-30.5,-38.5,-42.5,-46.5,-42.5,-38.5,-38.5,-38.5,-46.5,-54.5,-66.5,-66.5,-58.5,-62.5,-50.5,-58.5,-54.5,-54.5,-50.5,-46.5,-42.5,-46.5,-34.5,33,0
342.5,330.5,322.5,314.5,306.5,294.5,282.5,266.5,258.5,242.5,234.5,218.5,206.5,190.5,178.5,162.5,154.5,138.5,130.5,118.5,110.5,98.5,86.5,78.5,66.5,50.5,42.5,26.5,10.5,-1.5,-17.5,-17.5,-17.5,-13.5,-1.5,-1.5,-13.5,-13.5,-17.5,-33.5,-33.5,-29.5,-29.5,-21.5,-17.5,-13.5,-17.5,-5.5,-1.5,-1.5,32,0
335.0,315.0,307.0,295.0,283.0,271.0,263.0,247.0,235.0,219.0,211.0,195.0,187.0,175.0,167.0,151.0,139.0,127.0,115.0,103.0,95.0,75.0,67.0,51.0,35.0,15.0,-1.0,-13.0,-25.0,-29.0,-33.0,-41.0,-33.0,-29.0,-25.0,-41.0,-49.0,-53.0,-53.0,-45.0,-45.0,-45.0,-37.0,-33.0,-29.0,-25.0,-21.0,-13.0,-9.0,-5.0,33,0
282.0,270.0,258.0,246.0,238.0,230.0,222.0,206.0,198.0,186.0,174.0,166.0,154.0,142.0,130.0,118.0,110.0,98.0,86.0,74.0,66.0,54.0,50.0,34.0,26.0,10.0,2.0,-10.0,-18.0,-38.0,-42.0,-42.0,-34.0,-30.0,-38.0,-42.0,-50.0,-58.0,-54.0,-54.0,-54.0,-50.0,-46.0,-42.0,-38.0,-38.0,-34.0,-30.0,-26.0,-18.0,33,0
338.5,326.5,314.5,302.5,286.5,278.5,266.5,258.5,242.5,234.5,222.5,214.5,202.5,194.5,178.5,170.5,150.5,142.5,130.5,118.5,106.5,94.5,82.5,70.5,50.5,42.5,22.5,6.5,-5.5,-13.5,-21.5,-17.5,-5.5,-13.5,-25.5,-33.5,-41.5,-41.5,-37.5,-37.5,-33.5,-37.5,-29.5,-25.5,-25.5,-25.5,-17.5,-13.5,-5.5,2.5,33,0
335.0,323.0,311.0,299.0,283.0,271.0,255.0,243.0,231.0,219.0,203.0,195.0,179.0,171.0,155.0,143.0,131.0,119.0,107.0,99.0,79.0,67.0,51.0,39.0,19.0,3.0,-13.0,-17.0,-29.0,-37.0,-41.0,-45.0,-37.0,-29.0,-33.0,-37.0,-49.0,-57.0,-57.0,-53.0,-49.0,-45.0,-41.0,-37.0,-37.0,-33.0,-29.0,-29.0,-21.0,-17.0,33,0
332.5,316.5,304.5,288.5,280.5,264.5,256.5,240.5,232.5,220.5,212.5,200.5,192.5,180.5,172.5,156.5,148.5,136.5,124.5,108.5,96.5,80.5,72.5,60.5,48.5,32.5,20.5,0.5,-15.5,-27.5,-35.5,-27.5,-19.5,-27.5,-39.5,-51.5,-63.5,-59.5,-55.5,-51.5,-47.5,-43.5,-47.5,-43.5,-43.5,-35.5,-35.5,-31.5,-31.5,-27.5,33,0
303.5,291.5,279.5,271.5,255.5,243.5,231.5,219.5,207.5,199.5,187.5,179.5,167.5,159.5,151.5,143.5,131.5,123.5,115.5,107.5,95.5,87.5,71.5,63.5,51.5,39.5,23.5,7.5,-4.5,-16.5,-32.5,-32.5,-16.5,-24.5,-28.5,-36.5,-48.5,-48.5,-40.5,-40.5,-36.5,-32.5,-28.5,-24.5,-20.5,-20.5,-12.5,-4.5,3.5,3.5,33,0
302.5,290.5,278.5,266.5,258.5,242.5,230.5,218.5,210.5,194.5,186.5,170.5,162.5,146.5,138.5,126.5,114.5,102.5,90.5,78.5,66.5,50.5,38.5,22.5,6.5,-5.5,-17.5,-33.5,-37.5,-41.5,-49.5,-41.5,-33.5,-41.5,-41.5,-41.5,-41.5,-37.5,-33.5,-29.5,-25.5,-17.5,-17.5,-17.5,-17.5,-13.5,-17.5,-13.5,-13.5,-13.5,33,0
335.5,323.5,311.5,295.5,287.5,271.5,263.5,247.5,235.5,215.5,203.5,187.5,175.5,155.5,143.5,123.5,111.5,95.5,87.5,71.5,63.5,51.5,43.5,23.5,11.5,-4.5,-12.5,-24.5,-28.5,-28.5,-44.5,-40.5,-36.5,-16.5,-8.5,-16.5,-28.5,-32.5,-40.5,-52.5,-48.5,-44.5,-44.5,-40.5,-36.5,-32.5,-28.5,-24.5,-20.5,-8.5,33,0
297.0,281.0,273.0,261.0,249.0,237.0,225.0,213.0,205.0,189.0,181.0,169.0,161.0,145.0,133.0,121.0,109.0,93.0,81.0,69.0,61.0,49.0,37.0,21.0,9.0,-3.0,-7.0,-19.0,-27.0,-35.0,-39.0,-27.0,-27.0,-31.0,-31.0,-39.0,-47.0,-55.0,-47.0,-43.0,-43.0,-47.0,-39.0,-35.0,-35.0,-31.0,-23.0,-15.0,-15.0,-3.0,37,0
319.0,307.0,295.0,283.0,271.0,259.0,243.0,231.0,215.0,207.0,191.0,183.0,171.0,159.0,143.0,135.0,119.0,111.0,95.0,83.0,63.0,51.0,31.0,19.0,-5.0,-25.0,-29.0,-33.0,-45.0,-45.0,-41.0,-33.0,-33.0,-37.0,-29.0,-33.0,-53.0,-53.0,-45.0,-45.0,-37.0,-33.0,-29.0,-25.0,-21.0,-17.0,-13.0,-9.0,3.0,11.0,32,0
297.5,289.5,273.5,265.5,253.5,241.5,225.5,217.5,201.5,193.5,177.5,169.5,153.5,145.5,133.5,125.5,109.5,97.5,81.5,69.5,57.5,49.5,37.5,29.5,17.5,13.5,1.5,-2.5,-10.5,-18.5,-26.5,-26.5,-18.5,-10.5,-18.5,-26.5,-38.5,-42.5,-38.5,-34.5,-30.5,-26.5,-22.5,-22.5,-18.5,-18.5,-14.5,-10.5,-2.5,1.5,33,0
298.0,290.0,274.0,262.0,250.0,242.0,226.0,218.0,202.0,194.0,178.0,170.0,154.0,146.0,134.0,122.0,106.0,94.0,82.0,70.0,62.0,50.0,38.0,30.0,14.0,2.0,-6.0,-14.0,-26.0,-34.0,-34.0,-26.0,-30.0,-38.0,-42.0,-50.0,-54.0,-54.0,-50.0,-50.0,-46.0,-46.0,-42.0,-38.0,-30.0,-26.0,-18.0,-10.0,-6.0,-2.0,31,0
303.0,291.0,275.0,267.0,251.0,239.0,223.0,211.0,195.0,183.0,171.0,159.0,143.0,135.0,119.0,111.0,99.0,87.0,71.0,63.0,51.0,43.0,23.0,11.0,-5.0,-13.0,-25.0,-33.0,-41.0,-45.0,-53.0,-45.0,-33.0,-33.0,-49.0,-49.0,-61.0,-69.0,-69.0,-69.0,-65.0,-65.0,-65.0,-61.0,-61.0,-61.0,-57.0,-57.0,-53.0,-53.0,31,0
335.0,323.0,307.0,299.0,283.0,271.0,259.0,247.0,231.0,219.0,207.0,195.0,179.0,171.0,155.0,147.0,131.0,123.0,107.0,95.0,79.0,71.0,51.0,39.0,19.0,11.0,-9.0,-17.0,-29.0,-37.0,-45.0,-45.0,-37.0,-37.0,-37.0,-41.0,-53.0,-61.0,-61.0,-61.0,-53.0,-53.0,-53.0,-49.0,-45.0,-41.0,-29.0,-25.0,-17.0,-13.0,33,0
338.0,322.0,314.0,298.0,290.0,274.0,262.0,246.0,238.0,222.0,214.0,198.0,186.0,174.0,162.0,150.0,138.0,122.0,114.0,98.0,90.0,74.0,66.0,50.0,38.0,22.0,6.0,-14.0,-22.0,-34.0,-42.0,-30.0,-30.0,-34.0,-34.0,-42.0,-38.0,-30.0,-26.0,-22.0,-18.0,-18.0,-18.0,-14.0,-14.0,-14.0,-10.0,-10.0,-10.0,-10.0,32,0
