T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
135.0,134.6,134.8,137.3,136.8,135.9,135.8,135.1,135.5,135.3,135.6,136.1,134.5,134.3,134.1,135.0,134.6,133.9,133.5,133.6,134.3,134.8,133.5,134.1,132.8,132.3,130.9,129.0,128.0,126.1,123.8,124.1,123.0,119.0,115.8,111.6,106.3,103.5,101.9,98.8,95.3,92.9,89.6,86.9,83.6,81.0,77.9,76.8,74.4,72.1,32,0
138.1,139.4,137.3,137.8,137.8,136.8,136.6,136.0,137.4,137.1,137.1,138.3,137.6,140.9,138.9,135.9,141.3,139.9,142.3,143.1,142.4,141.4,140.9,140.5,139.3,140.3,137.9,134.9,134.0,133.6,132.4,131.8,130.5,129.4,127.4,122.1,118.8,112.5,108.5,104.8,100.1,98.0,94.5,88.6,87.8,84.5,80.9,77.8,75.4,72.8,33,0
133.1,133.1,132.5,132.9,133.8,133.8,133.4,133.4,133.4,133.5,133.8,134.1,134.3,134.3,133.5,133.6,133.3,133.0,134.0,133.8,133.5,133.5,133.1,132.5,132.3,131.1,130.1,129.3,128.8,127.9,126.3,124.9,123.5,120.8,117.3,114.3,108.9,105.3,103.0,99.3,94.8,91.0,85.4,80.0,75.6,70.4,66.0,62.6,57.9,53.6,33,0
134.4,135.3,134.9,134.6,133.9,133.4,132.5,132.8,133.5,133.6,133.1,131.9,133.0,131.0,132.0,133.5,135.4,133.9,132.6,132.3,132.3,131.8,130.8,131.8,129.1,129.0,128.3,127.5,125.8,123.8,124.1,121.6,121.3,119.6,116.8,112.4,108.4,103.8,100.3,97.5,94.9,93.0,90.3,86.5,83.0,80.8,77.5,73.4,69.3,65.9,33,0
137.4,137.9,136.9,137.9,138.8,139.6,138.6,138.6,138.0,138.4,137.9,137.4,137.3,135.3,134.3,136.4,135.0,136.8,136.9,136.1,134.4,133.6,134.4,134.3,133.1,136.3,135.1,132.9,133.5,130.9,131.3,128.4,126.1,124.9,122.4,117.9,115.0,111.9,106.3,103.0,99.6,94.5,92.0,88.3,85.1,81.3,77.9,76.4,73.6,74.1,33,0
135.6,136.1,135.3,135.5,135.5,133.9,134.0,134.4,134.9,134.9,135.5,134.8,135.9,137.1,137.4,137.1,139.1,139.4,137.0,137.1,135.9,137.9,135.9,134.8,135.0,133.5,134.6,133.1,129.6,127.8,127.0,125.8,126.8,123.6,120.6,115.8,110.5,104.9,102.9,100.6,96.0,94.6,92.1,88.3,85.1,81.5,77.9,74.9,73.1,70.6,33,0
136.5,133.6,135.1,135.8,135.9,136.6,137.4,135.6,135.5,135.6,134.6,134.5,134.9,135.8,135.9,135.3,136.4,136.1,136.6,136.8,136.3,135.5,134.3,134.3,134.6,134.4,134.0,132.0,130.6,131.0,129.9,127.6,126.3,121.9,118.3,113.4,108.8,106.4,102.5,100.0,97.5,95.8,93.5,90.3,88.8,86.6,84.3,82.4,80.1,78.0,32,0
132.4,132.5,132.9,132.6,131.5,132.4,132.6,133.6,132.6,132.0,133.0,131.8,131.9,133.6,132.8,132.4,132.4,131.8,133.1,132.9,132.4,133.6,133.0,133.0,133.8,132.8,132.3,129.8,130.3,126.4,127.3,124.4,124.3,123.5,119.0,115.1,112.8,107.0,104.3,99.0,97.0,93.5,89.4,86.9,83.5,78.8,76.3,71.9,69.1,66.8,31,0
141.1,140.6,141.0,140.3,141.5,144.0,143.3,142.6,142.4,140.9,141.0,140.3,137.5,138.4,143.9,139.6,142.3,141.4,141.8,141.3,143.6,146.0,144.3,143.9,140.6,140.3,136.0,136.3,136.5,135.8,131.5,132.4,129.3,129.8,128.6,122.4,114.3,109.4,106.8,103.4,102.8,101.5,95.6,96.5,87.1,82.3,80.6,76.4,74.4,71.9,31,0
138.8,137.9,140.0,138.3,136.9,136.3,135.0,133.8,134.0,132.8,134.1,135.8,135.3,136.0,138.9,133.0,133.4,134.3,135.6,135.1,133.9,133.8,133.5,135.4,133.4,131.9,130.0,128.8,131.6,131.6,131.9,128.8,128.6,128.8,122.1,116.4,110.6,108.6,104.8,103.5,96.0,93.3,89.3,89.6,84.1,83.1,81.1,79.6,72.5,68.9,33,0
137.4,140.5,139.1,140.1,138.9,137.6,138.8,139.4,138.1,138.8,138.6,138.1,136.6,138.0,135.4,137.0,138.6,137.1,136.1,135.0,133.6,134.8,134.0,132.4,133.5,132.3,131.9,132.0,130.4,131.0,127.8,131.5,131.6,125.1,118.9,119.4,113.9,107.6,104.3,101.9,98.6,94.6,91.8,88.6,85.4,82.1,81.5,79.0,74.5,71.5,33,0
137.8,138.4,138.4,138.4,138.6,138.0,136.0,137.1,138.4,136.9,138.4,137.6,138.1,136.6,135.4,134.5,136.4,137.9,134.4,135.3,135.9,136.8,136.3,135.6,136.5,134.4,133.8,133.9,131.9,132.6,130.4,129.4,128.8,125.3,120.1,115.6,110.6,107.5,101.9,99.5,98.1,94.4,92.9,94.1,84.3,81.8,78.6,76.4,74.5,72.3,33,0
138.1,137.5,137.6,137.5,136.9,138.5,137.3,136.6,137.8,139.0,139.9,141.4,141.0,140.3,139.3,139.1,137.8,138.3,137.6,136.0,134.8,133.5,134.6,137.4,139.9,139.0,138.1,136.1,135.0,131.9,130.1,128.0,130.1,130.1,126.6,120.8,113.8,110.5,106.5,103.0,100.0,94.5,91.8,90.8,87.6,80.6,81.1,78.0,75.0,74.4,33,0
137.3,138.6,137.3,134.8,137.6,136.1,138.1,138.4,138.1,138.9,136.4,137.8,136.6,137.8,138.6,138.0,135.4,137.3,136.9,136.9,133.6,134.9,136.1,133.3,133.8,133.6,132.8,130.9,130.6,127.5,125.8,126.5,127.3,122.5,118.5,115.3,110.1,105.6,104.1,100.0,94.6,92.6,92.0,89.0,85.3,81.5,77.9,75.4,71.5,70.4,33,0
132.8,134.4,132.1,127.9,130.8,131.4,131.5,134.4,135.8,136.6,134.5,133.9,137.0,135.0,136.3,134.6,134.8,134.8,130.6,138.4,132.4,128.9,135.9,137.1,134.8,134.9,134.3,133.3,132.0,127.9,126.6,121.6,124.0,126.0,127.4,126.6,118.8,114.6,109.9,107.4,101.9,99.5,95.9,91.6,89.9,84.1,83.4,78.1,74.1,70.1,32,0
138.1,138.0,138.4,137.4,137.4,138.3,137.1,136.9,137.0,136.8,135.5,139.1,138.1,137.9,138.0,138.6,138.6,135.9,135.5,136.6,137.1,138.4,139.3,138.8,137.1,137.3,135.6,135.5,135.1,134.5,132.3,131.6,128.8,126.5,123.3,119.1,113.9,111.0,109.4,104.3,103.1,101.9,96.8,93.5,90.9,86.1,82.5,81.8,80.4,78.5,33,0
135.5,136.6,135.0,134.3,133.3,135.3,134.1,133.5,132.4,138.1,135.9,134.9,134.6,135.6,134.8,134.5,133.4,134.3,137.1,136.4,136.1,136.5,135.4,135.8,134.6,132.0,131.4,130.1,130.9,129.6,128.8,127.6,126.8,125.8,122.8,114.1,110.5,105.8,105.5,102.5,97.3,96.4,92.4,88.6,85.0,80.6,75.1,73.3,69.5,69.5,33,0
137.3,138.5,138.4,136.5,136.1,136.9,136.5,136.0,135.4,140.1,136.5,135.3,134.0,134.5,135.0,135.8,138.9,139.6,140.0,137.8,138.3,137.9,137.8,138.6,138.9,138.0,135.4,133.5,131.6,130.1,127.8,127.6,124.4,122.0,120.0,115.3,110.1,106.5,104.1,101.3,98.9,98.1,94.0,89.6,87.1,83.9,79.3,76.5,75.8,69.0,33,0
138.5,137.9,138.1,137.6,137.3,137.0,135.4,135.6,135.6,135.6,135.8,136.6,135.3,135.6,137.0,136.1,136.0,136.8,136.6,135.9,136.0,136.6,138.4,136.8,135.6,136.6,135.9,133.5,133.0,129.1,128.6,127.3,125.9,124.3,120.8,117.6,111.3,109.1,106.8,103.1,99.6,96.9,93.0,89.9,87.4,83.3,80.6,77.9,74.0,74.3,33,0
135.5,136.4,136.5,134.5,134.1,132.6,132.5,131.9,131.4,131.9,134.1,136.6,135.9,133.1,136.6,137.5,135.5,134.8,136.9,134.5,136.1,137.3,138.9,137.9,136.3,137.1,138.1,134.3,132.6,131.8,130.9,131.6,130.0,124.4,119.4,116.4,115.1,110.1,106.3,102.4,98.1,96.6,94.6,94.1,91.4,86.1,83.4,82.1,78.6,77.3,33,0
133.1,136.6,137.8,135.1,135.4,136.1,136.3,135.4,135.3,134.8,134.9,134.1,134.6,133.1,134.0,133.3,133.8,133.9,131.4,130.8,132.5,130.6,130.9,132.0,129.9,132.1,130.0,135.9,135.0,129.3,129.6,124.9,123.6,123.8,119.1,115.5,107.6,105.9,101.6,97.1,96.6,91.5,91.0,83.6,81.0,79.1,75.0,75.0,69.3,69.1,33,0
