T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
50.9,51.0,51.3,51.7,51.8,48.3,47.5,47.8,47.7,47.9,48.3,48.7,48.9,50.3,50.9,50.9,50.8,50.7,51.3,52.6,53.7,54.3,53.9,53.6,52.9,42.5,37.6,32.8,30.2,27.4,26.9,26.8,27.0,31.4,38.1,51.7,65.7,68.3,68.7,68.9,68.9,68.9,68.8,68.8,68.8,68.8,65.1,58.3,51.2,37.4,32,0
46.9,46.4,45.6,44.9,45.4,46.9,48.3,49.6,51.4,51.5,51.1,51.4,50.4,49.8,49.6,48.3,47.3,47.0,46.1,45.3,44.0,43.4,43.3,43.7,44.8,45.2,45.4,42.1,34.6,31.4,29.3,27.8,26.8,27.0,28.6,31.2,48.6,62.1,67.8,67.9,68.4,68.4,68.4,68.4,68.3,68.4,68.3,68.3,63.1,55.7,33,0
50.3,50.4,50.4,50.4,50.9,50.8,50.3,49.9,50.0,49.8,49.5,49.2,47.9,47.4,47.6,47.9,49.3,49.6,49.6,49.6,48.4,47.8,47.6,47.5,47.9,48.6,49.3,50.4,49.4,43.9,39.3,34.7,29.3,29.4,31.2,36.6,63.7,69.2,69.3,69.9,70.0,70.0,70.0,70.1,70.1,69.1,62.9,55.4,41.2,35.7,33,0
45.7,45.6,45.3,44.8,44.6,44.5,45.1,45.9,46.8,47.6,47.7,48.0,48.9,49.8,49.9,49.9,50.4,50.1,48.6,48.6,48.9,49.1,48.8,49.0,49.6,50.4,50.4,45.8,41.0,36.7,29.8,28.2,27.0,26.6,28.4,31.1,36.2,50.4,67.6,67.7,68.1,68.3,68.3,68.3,68.1,68.2,68.2,68.2,68.2,67.8,33,0
51.6,53.7,53.4,49.9,49.7,49.5,49.0,46.9,46.8,47.2,48.1,48.6,48.8,49.1,49.5,52.9,54.4,54.1,53.4,52.4,52.3,52.3,52.9,53.9,54.1,54.2,54.7,45.9,40.1,34.8,31.2,27.7,26.7,26.3,27.1,32.4,40.2,53.7,65.7,67.4,67.8,67.8,67.7,67.7,67.7,67.7,67.7,62.1,55.0,48.0,33,0
52.9,51.6,51.1,50.6,49.9,49.9,50.1,50.9,51.9,52.7,52.3,52.5,52.4,52.1,51.3,49.8,48.5,47.0,47.0,47.3,47.9,49.4,49.4,49.3,49.4,50.5,50.1,45.4,39.9,31.7,29.3,27.9,27.0,28.4,30.9,37.1,50.0,67.8,68.1,68.6,68.6,68.7,68.7,68.7,68.8,68.7,68.8,66.8,59.9,45.2,33,0
47.8,47.4,48.5,50.8,51.9,50.7,49.5,48.3,47.0,49.3,50.0,50.4,51.8,52.8,52.9,52.6,52.5,52.3,51.1,50.4,49.9,48.9,49.2,49.8,50.3,51.1,51.6,50.8,45.3,36.1,32.1,29.4,28.6,34.1,45.1,61.0,67.1,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.7,67.6,67.6,67.7,67.7,61.9,32,0
50.2,50.3,49.9,49.6,49.4,49.0,48.8,48.3,47.9,48.4,49.0,49.6,49.8,50.3,50.3,49.4,49.0,49.3,49.1,49.4,49.1,48.4,48.4,48.5,48.5,48.5,48.6,47.4,41.3,36.6,29.6,27.9,26.9,26.2,28.9,33.7,46.1,60.0,63.3,63.7,63.9,63.9,63.9,63.9,63.9,63.9,58.3,49.9,43.0,36.8,31,0
48.2,50.3,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,50.4,49.9,44.1,34.3,30.8,28.9,27.6,26.6,27.8,30.4,34.5,60.4,66.7,67.0,67.4,67.6,67.6,67.6,67.5,67.6,67.5,67.5,67.5,56.6,49.4,31,0
48.4,46.9,44.4,44.0,42.7,41.8,43.8,45.4,47.1,48.5,52.0,53.0,52.5,51.8,49.7,48.3,46.6,47.3,49.3,48.9,48.1,48.3,49.9,50.3,50.5,51.1,53.1,54.0,54.9,52.4,40.9,35.4,31.1,28.9,33.4,40.6,55.9,65.4,66.1,66.3,66.4,66.4,66.4,66.3,66.3,66.3,64.5,58.1,50.9,43.0,33,0
42.6,42.9,43.6,42.8,42.6,43.1,46.6,47.9,48.4,47.7,46.1,45.5,45.6,46.4,47.3,47.6,49.1,49.0,47.3,48.2,49.8,51.1,52.4,52.1,51.8,51.6,51.8,52.3,52.9,50.9,39.8,34.9,31.3,29.4,33.6,43.0,58.9,67.3,67.9,67.9,67.9,67.9,67.8,67.9,67.8,67.8,67.8,67.8,66.4,59.7,33,0
44.0,44.6,45.1,45.2,45.3,45.4,45.9,47.1,48.6,49.3,47.9,47.6,47.3,47.4,49.4,50.3,51.9,52.9,50.4,49.2,50.9,52.2,50.3,49.7,49.9,50.0,50.6,51.3,51.8,47.3,36.7,32.4,29.7,28.8,33.1,42.9,57.3,66.8,67.6,67.6,67.6,67.7,67.6,67.6,67.6,67.6,67.1,60.7,53.2,45.6,33,0
50.8,49.5,47.9,46.9,46.3,45.5,45.1,44.3,43.1,43.9,44.3,44.8,43.8,42.4,41.7,41.6,41.6,41.6,42.1,43.4,44.1,45.5,46.8,48.6,49.9,48.3,47.8,48.2,48.6,44.9,39.7,35.8,29.8,28.2,29.6,33.1,57.5,64.8,65.2,65.6,65.8,65.8,65.8,65.8,65.7,65.8,64.3,57.4,42.1,35.9,33,0
53.9,51.8,48.9,44.9,45.7,48.5,49.0,47.3,46.9,46.2,45.3,44.8,46.3,47.3,47.3,45.6,44.9,45.8,48.6,49.1,48.1,48.1,49.1,50.2,50.2,45.9,41.0,32.5,30.0,28.4,27.3,27.0,27.1,27.2,28.9,38.7,52.2,65.7,67.9,68.7,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.7,68.7,62.9,33,0
51.2,50.9,50.6,49.8,50.1,57.4,57.9,56.8,54.9,49.4,46.7,45.7,46.4,47.1,45.8,45.0,44.9,46.3,46.7,47.3,51.4,50.9,52.3,54.8,53.6,50.3,50.8,51.1,51.3,51.9,48.3,43.9,39.2,31.1,29.2,27.9,28.6,34.4,44.6,58.4,68.1,68.9,69.1,69.3,69.2,69.1,69.1,69.1,69.1,67.8,32,0
48.4,48.9,47.5,47.1,46.8,46.6,49.4,49.8,50.0,50.1,50.4,50.6,51.4,51.7,49.6,49.9,50.5,50.4,48.9,49.9,51.4,51.8,51.1,50.1,49.4,49.5,49.6,48.6,43.8,38.5,30.6,28.6,27.4,27.0,30.8,36.2,50.2,63.3,67.4,67.8,67.8,67.8,67.8,67.8,67.8,67.8,66.8,60.3,52.3,45.2,33,0
46.8,47.2,46.9,46.6,47.4,50.9,52.1,52.3,52.3,54.3,54.2,51.4,49.9,51.5,51.6,50.7,50.1,51.0,52.1,52.1,50.9,49.8,50.4,51.1,51.8,51.9,51.9,52.4,53.2,44.1,38.8,33.3,30.1,28.6,30.6,35.5,49.3,66.9,67.1,67.4,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.5,67.3,54.6,33,0
45.9,43.9,44.0,43.4,42.8,43.9,45.0,45.6,46.3,48.0,47.9,46.2,44.9,48.0,49.3,49.3,48.8,45.5,43.8,42.4,42.1,44.2,44.3,43.9,43.7,44.0,44.3,44.4,45.1,45.0,40.8,36.9,33.4,30.6,33.1,40.6,56.8,67.1,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,63.2,55.3,41.3,33,0
54.6,54.3,52.6,51.4,50.2,49.9,49.9,50.1,51.3,52.2,52.6,52.8,53.5,53.2,53.8,54.1,52.7,52.6,53.1,53.5,52.9,52.8,52.6,52.3,51.4,48.7,42.8,37.8,30.4,28.8,27.6,27.1,27.1,27.5,29.6,32.8,57.2,67.9,68.3,69.0,69.2,69.3,69.2,69.3,69.2,69.2,69.2,69.2,57.3,50.3,33,0
50.1,49.6,48.2,45.4,45.2,45.2,45.9,51.2,52.5,53.4,54.8,55.4,53.7,50.9,49.7,51.6,50.8,48.4,47.4,48.9,48.3,47.9,46.9,45.6,45.9,46.4,47.1,47.4,47.2,47.8,49.2,43.5,38.7,37.3,40.3,54.8,66.2,67.3,67.6,67.9,67.9,67.9,67.8,67.8,67.8,67.8,67.8,67.7,67.7,67.8,33,0
48.0,47.9,47.6,47.0,47.1,47.9,47.8,47.3,47.1,47.6,50.1,51.4,52.3,53.1,53.8,53.9,53.8,53.9,54.0,54.1,54.4,54.4,53.8,53.5,53.3,53.4,53.4,53.1,52.9,50.6,39.4,33.8,30.6,29.6,35.3,46.4,63.5,67.9,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.6,56.6,49.5,41.9,36.1,33,0
50.2,49.5,49.4,49.9,49.6,49.2,49.6,49.8,49.8,50.0,50.4,51.6,52.8,52.0,51.4,50.8,51.0,51.1,50.8,50.5,49.9,50.2,50.3,50.2,49.9,50.7,49.8,43.4,38.3,30.4,28.6,27.4,26.7,28.3,31.2,35.8,40.8,38.6,34.2,30.9,28.9,26.6,26.3,26.3,26.4,26.6,26.6,26.6,26.6,26.6,33,0
51.0,52.0,52.4,52.3,51.5,48.1,46.6,46.9,46.8,45.2,43.4,42.6,42.1,43.3,45.0,45.7,45.4,43.7,43.9,44.8,46.9,48.4,48.7,49.8,50.8,50.5,50.4,45.9,39.3,31.1,29.1,27.9,26.9,26.4,26.5,26.6,28.1,35.9,48.2,61.4,66.9,67.4,67.5,67.5,67.4,67.5,67.4,67.4,67.0,52.7,33,0
46.9,47.7,47.3,46.6,45.8,46.9,48.6,48.8,46.6,47.2,48.9,48.8,47.2,51.7,53.2,53.5,53.0,52.1,51.4,50.1,49.6,49.1,49.5,50.2,50.8,51.6,52.0,49.4,43.8,33.3,30.3,28.4,27.3,27.5,29.9,34.3,46.0,65.4,65.9,66.3,66.4,66.4,66.4,66.3,66.4,66.3,60.4,53.1,46.0,33.4,37,0
51.8,52.1,52.1,51.9,51.3,52.4,53.5,53.4,52.3,52.0,51.9,52.9,56.4,56.4,56.3,56.3,52.9,52.8,52.6,51.5,51.4,51.7,51.6,51.4,51.3,52.2,53.6,51.9,41.3,35.8,31.9,29.6,28.0,29.2,31.9,39.4,66.2,69.5,69.7,70.2,70.3,70.3,70.3,70.3,70.3,70.3,70.3,70.3,64.6,57.2,32,0
51.0,50.9,51.1,51.3,51.5,50.9,50.4,50.1,50.1,50.4,50.6,50.7,50.3,49.7,49.1,49.7,50.1,49.9,49.6,49.4,48.4,49.1,49.8,50.3,52.1,52.9,53.8,54.6,53.0,47.2,41.1,36.1,29.3,28.6,29.9,33.8,59.4,67.2,67.3,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,67.9,61.8,53.9,33,0
47.1,46.8,46.4,46.4,46.5,46.7,47.0,47.4,47.8,47.9,47.9,47.8,47.9,47.9,48.6,49.4,50.3,50.4,47.8,47.1,46.7,47.3,49.3,49.8,50.2,50.6,51.0,46.8,41.2,36.8,29.8,28.2,27.8,29.1,38.7,53.2,65.5,67.0,67.7,67.7,67.8,67.8,67.7,67.7,64.1,56.3,42.3,36.5,32.1,29.6,31,0
52.9,52.8,53.1,53.2,52.0,52.0,52.2,52.0,51.6,51.6,51.6,51.9,53.0,53.1,52.2,52.0,52.3,51.9,51.9,51.9,51.6,52.1,52.5,52.9,53.4,49.8,44.5,39.5,31.0,29.1,27.8,27.1,27.0,27.8,30.0,33.4,59.1,67.9,68.1,68.6,68.9,68.9,68.9,68.8,68.8,68.8,68.8,68.8,68.8,68.8,31,0
51.9,51.3,50.6,50.1,50.1,50.1,50.1,50.3,50.6,50.9,51.2,51.4,51.4,51.5,51.7,52.6,52.9,53.0,52.9,52.7,52.4,51.4,50.3,51.2,51.3,51.3,51.4,46.1,40.9,35.4,31.7,27.9,27.0,27.0,28.3,35.8,49.0,62.1,68.2,69.0,69.1,69.1,69.1,69.2,69.2,65.1,57.6,43.6,37.1,32.8,33,0
49.1,49.0,48.6,48.5,48.4,48.3,48.1,48.0,47.9,47.8,46.9,47.5,47.6,47.3,46.9,46.9,46.9,47.2,47.8,47.8,47.8,47.8,48.3,48.6,48.8,49.0,49.3,47.8,42.3,37.5,30.0,28.2,27.3,28.6,36.7,46.6,46.8,40.4,30.9,28.6,27.3,26.3,25.1,24.9,24.9,25.1,25.1,25.1,25.1,25.2,32,0
50.4,51.2,51.7,52.1,51.8,50.6,50.0,50.8,50.8,50.4,50.4,50.8,50.6,50.8,50.9,48.9,47.8,48.8,49.4,49.5,50.1,50.1,50.0,51.0,51.2,50.9,50.8,49.8,44.8,39.7,34.9,29.3,28.0,27.6,28.7,35.7,48.8,62.2,68.3,69.0,69.1,69.1,69.1,69.1,69.1,69.1,69.1,65.4,57.8,50.7,33,0
52.2,51.7,51.0,50.9,50.6,50.3,50.5,50.9,51.1,51.2,51.4,51.5,51.6,51.6,51.4,51.2,51.1,50.9,50.7,50.6,50.5,50.5,50.8,51.0,51.1,51.3,48.0,42.8,38.1,33.9,28.8,27.6,27.1,28.0,33.8,45.1,58.8,67.6,68.4,68.5,68.5,68.6,68.5,68.5,68.4,68.4,68.4,68.4,68.3,68.4,33,0
44.4,43.4,43.6,43.8,44.6,45.2,45.1,45.6,50.3,51.6,52.3,52.9,52.1,49.9,47.9,46.6,45.0,44.4,44.1,44.1,44.0,44.0,43.9,44.3,45.1,45.0,44.7,44.6,45.7,46.9,44.6,40.1,32.3,31.9,35.1,41.3,65.1,65.4,65.9,66.1,66.1,66.1,66.1,66.1,66.1,66.0,61.0,53.4,39.0,33.1,31,0
51.4,51.6,51.9,51.8,50.9,50.5,49.9,49.8,49.8,50.3,50.6,51.0,51.3,50.8,50.4,50.7,50.6,50.0,49.8,50.1,50.8,50.9,51.1,51.7,52.7,52.7,48.3,43.1,33.5,30.6,28.8,27.5,26.9,27.6,29.7,33.1,58.2,67.9,68.0,68.8,68.8,68.8,68.8,68.8,68.6,68.6,68.6,68.6,66.6,60.1,33,0
52.1,52.1,51.9,51.5,51.5,51.3,51.2,51.4,51.3,51.5,51.6,50.7,49.8,49.1,49.9,50.7,50.8,50.7,50.6,50.3,50.1,49.9,49.9,49.8,49.6,49.7,50.1,51.8,47.6,42.4,37.8,30.4,28.5,28.5,30.4,48.0,61.5,67.1,67.3,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.7,67.8,67.8,67.8,32,0
48.1,48.8,50.6,51.8,52.5,51.1,49.7,49.2,48.4,48.4,49.4,50.2,49.6,50.3,51.6,52.0,54.3,54.1,53.1,51.3,50.6,50.5,50.6,50.9,51.3,51.3,49.9,44.8,34.0,30.7,28.7,27.4,26.4,27.5,29.7,33.8,58.4,66.4,66.7,66.9,52.5,45.4,37.8,32.9,28.1,26.9,26.1,25.7,25.8,25.9,33,0
49.3,49.3,49.3,49.3,49.3,49.2,49.2,49.1,49.2,49.2,49.1,49.2,49.2,49.2,49.1,49.2,49.2,47.6,42.8,43.3,43.6,43.3,43.2,43.2,43.2,43.2,41.7,34.9,31.6,29.4,27.9,26.7,26.8,26.8,27.6,33.5,44.0,59.3,67.6,68.3,68.4,68.4,68.4,68.4,68.3,68.3,68.3,68.3,68.3,68.3,33,0
49.9,49.8,49.6,49.1,48.6,48.8,48.4,48.1,48.4,48.6,49.2,50.3,50.4,50.6,50.6,51.3,51.6,51.8,51.9,51.8,51.4,51.3,51.3,51.0,50.7,50.6,50.6,51.1,51.9,47.8,42.4,32.4,30.9,33.0,37.9,65.0,66.6,67.1,67.3,67.4,67.4,67.4,67.4,56.4,49.3,41.6,35.6,28.9,27.4,26.4,31,0
49.1,49.0,49.1,49.1,49.2,49.3,49.2,48.9,48.6,48.5,48.5,48.5,48.8,48.8,48.9,49.1,49.3,49.1,48.8,48.6,48.6,48.8,49.0,49.1,46.9,41.1,36.4,32.4,28.1,27.1,26.8,26.7,27.1,29.3,32.6,40.8,67.6,67.8,68.5,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,68.6,58.5,51.2,33,0
49.1,48.9,48.9,50.4,51.6,52.3,52.0,50.9,51.1,52.1,52.6,53.2,52.5,50.1,48.8,49.8,49.1,48.6,48.4,48.3,48.2,48.1,47.6,47.6,48.1,46.8,42.3,33.5,30.6,28.8,27.4,26.6,26.7,28.1,30.6,40.4,43.1,40.9,36.1,29.8,28.3,27.1,26.5,26.4,26.6,26.6,26.6,26.7,26.7,26.7,33,0
