T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,Time,Label
3.5,3.4,3.4,3.3,3.3,3.3,3.2,3.0,2.9,2.8,2.8,2.8,2.7,2.5,2.4,2.3,2.2,2.2,2.2,2.1,2.1,2.0,2.0,2.0,2.1,2.3,2.5,2.6,2.7,2.9,3.0,3.3,3.4,3.6,3.7,3.8,3.9,3.8,3.7,3.5,3.4,3.3,3.3,3.3,3.3,3.2,3.1,2.9,2.6,2.5,2.5,2.5,2.7,3.0,3.3,3.4,3.5,3.7,3.7,3.8,3.9,3.9,4.0,4.0,4.0,4.1,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.3,4.2,4.0,3.9,3.7,3.5,3.4,3.3,3.3,3.3,3.2,3.1,3.1,3.1,3.3,3.4,3.6,3.7,3.7,3.9,4.1,4.5,4.8,5.0,5.1,5.3,5.4,5.5,5.5,5.6,5.9,6.2,6.2,6.2,6.4,6.6,6.7,6.7,6.7,6.6,6.4,6.3,6.4,6.6,6.7,6.7,6.6,6.3,6.0,5.7,5.4,5.3,5.0,4.7,4.4,4.0,3.6,3.1,2.4,1.8,1.1,0.8,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.9,1.0,1.0,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.4,128,0
1.9,2.1,2.2,2.2,2.3,2.2,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.8,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.2,3.2,3.2,3.3,3.3,3.2,3.1,3.0,2.7,2.5,2.4,2.3,2.0,1.8,1.7,1.6,1.6,1.6,1.6,1.4,1.3,1.4,1.5,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.5,2.5,2.4,2.2,1.9,1.8,1.6,1.5,1.4,1.5,1.7,1.8,1.8,1.9,2.0,2.0,2.0,1.9,1.8,1.7,1.6,1.7,1.8,1.9,2.1,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.8,2.8,3.0,3.3,3.4,3.7,4.1,4.7,5.0,5.1,5.1,5.1,5.0,4.8,4.7,4.6,4.6,4.6,4.5,4.6,4.7,5.0,5.2,5.1,4.8,4.5,3.9,3.3,2.7,2.3,1.9,1.6,1.6,1.7,1.6,1.1,0.9,0.8,0.9,0.8,0.8,0.7,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,132,0
2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.6,2.5,2.5,2.5,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.8,2.7,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.9,2.0,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.6,2.7,2.7,2.7,2.7,2.6,2.6,2.5,2.5,2.6,2.6,2.5,2.5,2.4,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.1,2.0,2.0,2.0,2.0,2.0,2.2,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,3.0,3.2,3.3,3.6,3.8,3.9,4.1,4.4,4.6,4.5,4.5,4.6,4.8,5.3,5.5,5.9,6.1,6.2,6.2,6.0,5.7,5.4,5.2,5.2,5.2,5.1,5.0,5.0,5.2,5.4,5.4,5.0,4.7,4.6,4.7,4.8,4.9,4.7,4.6,4.4,4.3,4.0,3.5,3.3,3.0,2.6,2.5,2.1,1.8,1.4,1.3,1.2,1.0,0.7,0.5,0.5,0.6,0.7,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130,0
2.3,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.1,3.0,3.0,3.0,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.0,3.0,3.1,3.2,3.1,3.0,2.9,2.8,2.7,2.7,2.7,2.8,3.0,3.0,2.9,2.9,2.7,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.7,2.8,2.8,2.9,3.2,3.3,3.6,3.7,3.8,3.8,3.8,3.8,3.9,4.0,4.3,4.5,4.7,4.7,4.7,4.7,4.8,5.0,5.4,6.0,6.2,6.2,6.0,5.8,5.8,5.8,5.7,5.6,5.4,5.2,5.3,5.5,5.9,6.0,6.1,6.2,6.4,6.4,6.2,6.2,6.2,6.2,6.2,6.1,5.8,5.4,5.0,4.7,4.7,4.6,4.5,4.3,4.0,3.7,3.2,2.5,1.7,1.0,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.9,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,131,0
3.6,3.5,3.3,3.0,2.7,2.4,2.1,1.8,1.7,1.6,1.7,1.8,1.8,1.7,1.7,1.8,1.8,1.9,2.1,2.3,2.4,2.5,2.8,3.1,3.3,3.3,3.3,3.2,3.1,3.0,2.8,2.6,2.5,2.5,2.6,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,3.1,3.3,3.4,3.6,3.9,4.0,4.2,4.5,4.6,4.6,4.5,4.3,4.1,3.9,3.8,3.6,3.5,3.3,3.3,3.3,3.2,3.0,2.8,2.7,2.7,2.8,3.1,3.3,3.5,3.7,3.8,3.8,3.9,3.9,4.0,4.0,4.2,4.3,4.2,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.2,4.4,4.6,4.9,5.2,5.4,5.5,5.5,5.4,5.2,5.0,4.8,4.7,4.6,4.4,4.5,4.7,4.7,4.7,4.8,5.1,5.5,5.9,6.0,5.8,5.5,5.3,5.1,4.9,4.8,5.0,5.3,5.4,5.0,4.7,4.4,4.2,4.0,3.7,3.2,2.6,2.1,1.6,1.1,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.7,0.6,0.6,0.6,0.7,0.8,0.9,0.9,1.0,1.0,1.0,0.9,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.7,0.7,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,131,0
2.2,2.0,1.8,1.8,1.8,1.8,2.1,2.4,2.6,2.9,3.1,3.2,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.2,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.4,3.3,3.3,3.3,3.2,3.1,3.0,2.8,2.6,2.5,2.4,2.3,2.2,2.1,2.0,1.9,1.9,1.8,1.8,1.9,2.0,2.2,2.4,2.5,2.6,2.7,2.9,3.1,3.2,3.2,3.2,3.0,2.8,2.7,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.3,2.2,2.2,2.1,2.1,2.3,2.6,2.9,3.1,3.2,3.3,3.2,3.0,2.9,3.0,3.3,3.5,3.7,3.9,4.1,4.5,4.7,4.9,4.9,4.9,4.8,4.8,4.7,4.6,4.6,4.7,4.7,4.6,4.6,4.6,4.6,4.7,4.7,4.9,5.3,5.7,6.1,6.3,6.5,6.5,6.5,6.4,6.1,5.5,5.0,4.7,4.7,4.6,4.3,4.1,3.9,3.4,3.0,2.6,2.4,1.8,1.3,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.4,0.5,0.5,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,130,0
2.7,2.9,3.1,3.3,3.3,3.4,3.3,3.3,3.2,3.2,3.1,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.6,2.7,2.9,3.0,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.5,3.4,3.3,3.4,3.5,3.8,4.0,4.2,4.4,4.4,4.3,4.1,3.9,3.6,3.4,3.1,2.8,2.6,2.5,2.6,2.9,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.1,2.9,2.9,2.9,3.0,3.1,3.2,3.3,3.6,3.7,3.8,3.9,4.0,4.0,4.0,4.0,3.9,3.9,3.9,4.0,4.1,4.4,4.6,4.7,4.7,4.7,4.7,4.9,5.0,5.3,5.4,5.1,4.7,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.8,5.4,5.8,6.2,6.6,6.9,6.8,6.3,6.0,5.5,5.2,4.8,4.7,4.6,4.3,4.0,3.4,2.9,2.3,1.4,0.8,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,125,0
3.2,3.1,3.1,3.1,3.2,3.2,3.1,2.9,2.9,2.9,3.0,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.3,3.3,3.3,3.3,3.3,3.2,3.1,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.3,3.3,3.3,3.3,3.2,3.0,2.9,2.9,2.9,2.9,3.0,3.1,3.3,3.3,3.2,3.1,2.9,2.8,2.7,2.8,2.9,3.0,3.1,3.1,3.1,3.0,2.9,2.8,2.8,2.8,2.7,2.7,2.8,2.9,3.1,3.3,3.4,3.5,3.4,3.3,3.2,3.2,3.1,3.1,3.1,3.0,2.9,2.9,2.9,2.9,3.0,3.0,3.0,3.0,3.0,3.0,3.1,3.3,3.4,3.6,3.7,3.9,4.0,4.3,4.6,4.7,4.7,4.7,4.7,4.8,5.0,5.2,5.3,5.4,5.5,5.7,5.9,6.0,6.1,6.2,6.1,5.8,5.4,5.2,4.9,4.7,4.3,4.0,3.7,3.4,3.3,3.4,3.4,3.3,3.2,2.8,2.4,2.0,1.7,1.4,1.3,1.4,1.5,1.5,1.4,1.5,1.5,1.3,1.3,1.3,1.4,1.4,1.4,1.2,1.1,0.9,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.2,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,123,0
2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.3,2.3,2.0,1.7,1.3,0.8,0.5,0.4,0.4,0.6,0.9,1.1,1.2,1.4,1.5,1.8,1.9,2.2,2.4,2.5,2.7,2.8,2.9,2.8,2.6,2.5,2.4,2.2,1.9,1.7,1.6,1.7,1.9,2.2,2.5,2.7,2.9,2.8,2.5,2.3,2.2,2.1,2.0,1.8,1.7,1.5,1.4,1.3,1.3,1.4,1.4,1.2,1.1,0.9,0.8,0.8,1.0,1.3,1.7,1.8,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.4,1.4,1.4,1.5,1.6,1.8,1.8,1.9,1.9,1.9,1.8,1.8,1.7,1.5,1.3,1.2,1.1,1.1,1.3,1.7,2.0,2.3,2.3,2.5,2.9,3.3,3.7,3.8,3.8,3.9,4.4,4.8,5.1,5.1,4.8,4.6,4.2,3.9,3.5,3.3,3.5,3.9,4.3,4.6,4.7,4.8,4.8,4.8,4.7,4.7,4.7,4.5,4.2,3.9,3.3,2.8,2.2,1.8,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.3,1.2,1.1,0.9,0.7,0.7,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,123,0
1.9,2.0,2.1,2.3,2.4,2.4,2.5,2.5,2.4,2.5,2.5,2.6,2.8,2.8,2.8,2.7,2.6,2.6,2.6,2.7,2.7,2.8,2.9,2.9,2.9,2.9,3.0,3.2,3.4,3.5,3.7,3.8,4.0,4.1,4.3,4.4,4.5,4.5,4.3,4.0,3.8,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.7,2.5,2.5,2.4,2.3,2.1,2.0,2.1,2.3,2.5,2.7,2.8,2.8,2.8,2.8,2.9,3.0,3.2,3.5,3.8,4.0,4.1,4.1,4.1,4.0,3.9,3.7,3.5,3.3,3.2,3.2,3.3,3.3,3.3,3.4,3.5,3.7,4.0,4.3,4.6,4.8,5.0,5.0,4.8,4.7,4.4,4.4,4.5,4.6,4.5,4.4,4.7,5.0,5.4,5.4,5.4,5.5,5.4,5.3,5.2,5.2,5.4,5.5,5.9,6.1,6.1,5.8,5.4,5.1,4.9,4.9,4.9,4.8,4.7,4.7,4.7,4.4,4.1,4.0,4.2,4.2,4.2,4.0,3.5,3.1,2.4,1.5,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,-0.2,-0.2,-0.3,-0.2,-0.1,-0.1,-0.1,-0.2,132,0
