T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,Time,Label
0.0,0.0,-0.09,-0.09,0.0,0.0,0.79,0.79,-0.88,-0.88,0.09,0.09,0.97,0.97,0.62,0.62,0.53,0.53,-0.53,-0.53,-0.26,-0.26,-0.09,-0.09,1.32,1.32,0.62,0.62,0.0,0.0,-0.18,-0.18,0.0,0.0,-0.09,-0.09,0.53,0.53,-0.18,-0.18,-1.05,-1.05,0.62,0.62,0.7,0.7,-0.18,-0.18,0.09,0.09,1.85,1.85,-0.53,-0.53,-0.35,-0.35,0.79,0.79,0.0,0.0,-0.35,-0.35,-0.62,-0.62,0.26,0.26,1.76,1.76,-0.18,-0.18,0.7,0.7,-1.41,-1.41,1.76,1.76,2.64,2.64,-0.79,-0.79,0.18,0.18,-0.62,-0.62,0.88,0.88,3.6,3.6,-0.44,-0.44,-0.44,-0.44,0.35,0.35,0.79,0.79,1.23,1.23,-0.44,-0.44,64,0
-1.23,-1.23,0.09,0.09,0.88,0.88,0.97,0.97,-0.35,-0.35,-0.44,-0.44,-0.44,-0.44,1.32,1.32,0.18,0.18,-1.41,-1.41,0.97,0.97,0.35,0.35,-0.26,-0.26,-0.09,-0.09,0.35,0.35,1.23,1.23,0.09,0.09,0.09,0.09,-0.18,-0.18,0.7,0.7,0.18,0.18,0.26,0.26,-0.44,-0.44,1.14,1.14,0.18,0.18,0.18,0.18,1.49,1.49,0.0,0.0,0.79,0.79,0.53,0.53,1.76,1.76,0.26,0.26,1.41,1.41,-4.22,-4.22,3.25,3.25,7.29,7.29,0.79,0.79,6.24,6.24,2.81,2.81,2.72,2.72,2.46,2.46,5.89,5.89,2.72,2.72,3.87,3.87,3.96,3.96,4.22,4.22,2.2,2.2,6.94,6.94,1.41,1.41,4.39,4.39,66,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-0.18,0.26,0.26,-0.18,-0.18,0.09,0.09,0.35,0.35,0.26,0.26,-0.18,-0.18,-0.35,-0.35,-0.09,-0.09,0.97,0.97,-0.44,-0.44,-0.26,-0.26,-0.53,-0.53,1.67,1.67,-2.2,-2.2,1.41,1.41,-0.26,-0.26,-0.26,-0.26,-0.53,-0.53,1.05,1.05,-0.44,-0.44,0.44,0.44,0.09,0.09,0.35,0.35,0.09,0.09,-0.26,-0.26,-0.53,-0.53,-0.62,-0.62,-4.13,-4.13,-1.49,-1.49,-1.14,-1.14,-0.44,-0.44,1.67,1.67,-1.41,-1.41,-0.35,-0.35,1.49,1.49,0.18,0.18,0.0,0.0,0.26,0.26,-0.35,-0.35,-0.79,-0.79,-0.26,-0.26,0.53,0.53,0.7,0.7,0.26,0.26,65,0
0.44,0.44,0.44,0.44,0.62,0.62,0.44,0.44,0.53,0.53,0.62,0.62,0.35,0.35,0.09,0.09,0.44,0.44,0.26,0.26,0.62,0.62,0.53,0.53,0.53,0.53,0.35,0.35,0.26,0.26,0.18,0.18,-0.44,-0.44,-0.62,-0.62,3.34,3.34,0.18,0.18,1.14,1.14,-0.26,-0.26,-0.35,-0.35,2.11,2.11,0.79,0.79,0.35,0.35,2.02,2.02,-0.7,-0.7,-1.85,-1.85,0.44,0.44,1.05,1.05,2.81,2.81,-1.67,-1.67,-2.9,-2.9,1.85,1.85,2.11,2.11,-0.62,-0.62,-2.46,-2.46,3.78,3.78,4.13,4.13,-0.88,-0.88,2.29,2.29,0.7,0.7,4.57,4.57,2.11,2.11,0.18,0.18,0.53,0.53,1.67,1.67,1.23,1.23,1.58,1.58,66,0
-1.23,-1.23,1.14,1.14,1.41,1.41,-1.23,-1.23,0.09,0.09,1.85,1.85,-0.62,-0.62,-0.97,-0.97,-0.44,-0.44,0.0,0.0,-0.79,-0.79,0.62,0.62,0.18,0.18,-0.62,-0.62,0.09,0.09,0.09,0.09,0.53,0.53,-0.62,-0.62,-0.44,-0.44,1.41,1.41,-0.88,-0.88,-0.62,-0.62,0.62,0.62,-0.18,-0.18,-1.41,-1.41,0.18,0.18,0.26,0.26,-0.09,-0.09,-0.53,-0.53,0.7,0.7,-0.62,-0.62,0.53,0.53,-0.44,-0.44,4.66,4.66,0.79,0.79,-4.75,-4.75,-0.97,-0.97,1.76,1.76,2.81,2.81,-1.23,-1.23,0.18,0.18,0.35,0.35,-0.18,-0.18,-0.62,-0.62,-0.62,-0.62,0.18,0.18,-3.52,-3.52,-2.37,-2.37,-0.97,-0.97,-0.26,-0.26,66,0
1.05,1.05,1.23,1.23,0.62,0.62,1.32,1.32,0.18,0.18,1.32,1.32,0.53,0.53,-0.09,-0.09,0.97,0.97,1.32,1.32,0.88,0.88,0.62,0.62,-0.09,-0.09,-0.53,-0.53,1.32,1.32,1.23,1.23,1.76,1.76,-1.76,-1.76,0.7,0.7,3.08,3.08,-1.49,-1.49,0.97,0.97,0.62,0.62,1.23,1.23,1.23,1.23,-0.09,-0.09,0.0,0.0,1.23,1.23,0.88,0.88,0.0,0.0,0.62,0.62,2.46,2.46,0.26,0.26,-1.05,-1.05,2.81,2.81,1.76,1.76,0.18,0.18,-0.7,-0.7,1.05,1.05,0.7,0.7,0.88,0.88,0.88,0.88,0.44,0.44,0.97,0.97,-0.53,-0.53,1.14,1.14,0.7,0.7,-0.09,-0.09,-1.85,-1.85,1.67,1.67,65,0
-0.18,-0.18,-0.35,-0.35,-0.53,-0.53,1.58,1.58,0.88,0.88,-0.53,-0.53,-0.97,-0.97,-1.32,-1.32,-0.26,-0.26,1.76,1.76,0.35,0.35,-0.53,-0.53,-0.62,-0.62,0.26,0.26,-0.7,-0.7,-0.26,-0.26,0.62,0.62,0.53,0.53,-1.05,-1.05,-1.32,-1.32,1.23,1.23,-0.53,-0.53,1.32,1.32,-0.44,-0.44,-1.93,-1.93,0.7,0.7,0.53,0.53,0.09,0.09,-0.97,-0.97,0.0,0.0,-0.18,-0.18,-0.09,-0.09,-0.7,-0.7,0.35,0.35,-1.93,-1.93,-1.76,-1.76,-0.35,-0.35,0.0,0.0,-0.18,-0.18,-0.97,-0.97,-2.55,-2.55,-0.97,-0.97,-3.25,-3.25,-3.6,-3.6,1.23,1.23,-0.35,-0.35,-0.7,-0.7,-3.96,-3.96,0.0,0.0,-0.18,-0.18,63,0
-0.09,-0.09,-0.09,-0.09,-0.18,-0.18,-0.26,-0.26,-0.26,-0.26,-0.26,-0.26,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,0.44,0.44,0.09,0.09,-0.18,-0.18,-0.26,-0.26,0.44,0.44,-0.53,-0.53,-0.26,-0.26,-0.18,-0.18,0.0,0.0,-0.26,-0.26,-0.26,-0.26,-0.18,-0.18,-0.18,-0.18,-0.44,-0.44,0.79,0.79,0.0,0.0,-0.35,-0.35,0.0,0.0,-0.09,-0.09,0.0,0.0,-0.53,-0.53,-0.79,-0.79,-0.7,-0.7,-3.16,-3.16,-6.15,-6.15,2.02,2.02,-2.9,-2.9,-6.24,-6.24,-4.39,-4.39,-7.73,-7.73,-2.81,-2.81,-1.93,-1.93,-5.27,-5.27,-6.24,-6.24,-2.29,-2.29,-5.1,-5.1,-10.37,-10.37,-12.3,-12.3,-4.92,-4.92,-4.04,-4.04,-6.5,-6.5,62,0
0.53,0.53,0.88,0.88,-0.26,-0.26,-0.44,-0.44,1.93,1.93,0.26,0.26,-0.09,-0.09,1.23,1.23,1.14,1.14,0.26,0.26,-0.79,-0.79,0.62,0.62,0.88,0.88,-0.18,-0.18,0.35,0.35,0.53,0.53,0.35,0.35,1.32,1.32,-1.23,-1.23,0.97,0.97,0.97,0.97,-0.26,-0.26,0.0,0.0,1.67,1.67,2.11,2.11,-0.35,-0.35,0.53,0.53,-0.18,-0.18,0.26,0.26,0.62,0.62,-0.35,-0.35,2.11,2.11,0.0,0.0,0.79,0.79,3.25,3.25,4.22,4.22,4.75,4.75,7.56,7.56,4.48,4.48,5.8,5.8,4.13,4.13,1.76,1.76,6.86,6.86,5.01,5.01,4.66,4.66,8.44,8.44,0.26,0.26,6.42,6.42,3.87,3.87,7.56,7.56,62,0
0.62,0.62,0.09,0.09,0.09,0.09,-0.26,-0.26,0.26,0.26,0.26,0.26,0.0,0.0,0.09,0.09,1.05,1.05,-0.62,-0.62,0.18,0.18,0.0,0.0,-0.26,-0.26,0.35,0.35,0.18,0.18,-0.44,-0.44,0.0,0.0,0.97,0.97,-0.26,-0.26,0.26,0.26,-0.18,-0.18,0.44,0.44,0.09,0.09,-0.09,-0.09,-0.09,-0.09,0.0,0.0,-0.35,-0.35,0.7,0.7,1.32,1.32,-0.18,-0.18,-0.26,-0.26,-0.18,-0.18,0.35,0.35,3.6,3.6,4.39,4.39,0.26,0.26,3.08,3.08,3.78,3.78,2.37,2.37,3.87,3.87,3.96,3.96,1.14,1.14,4.22,4.22,4.57,4.57,2.11,2.11,0.0,0.0,0.62,0.62,0.18,0.18,1.32,1.32,1.93,1.93,66,0
0.35,0.35,-0.53,-0.53,-0.09,-0.09,0.62,0.62,-0.09,-0.09,-0.09,-0.09,-0.53,-0.53,-1.41,-1.41,0.09,0.09,0.44,0.44,1.76,1.76,-0.53,-0.53,-0.09,-0.09,0.97,0.97,-0.88,-0.88,0.26,0.26,-0.44,-0.44,-0.53,-0.53,0.79,0.79,-0.35,-0.35,-0.26,-0.26,-0.09,-0.09,0.26,0.26,0.88,0.88,-1.23,-1.23,0.88,0.88,0.35,0.35,-0.53,-0.53,0.09,0.09,-1.41,-1.41,0.44,0.44,1.05,1.05,-3.16,-3.16,-2.29,-2.29,-0.35,-0.35,-0.26,-0.26,-1.49,-1.49,-7.47,-7.47,5.01,5.01,-3.6,-3.6,-0.18,-0.18,0.88,0.88,-0.79,-0.79,-0.35,-0.35,1.58,1.58,-1.14,-1.14,-0.44,-0.44,0.7,0.7,0.35,0.35,0.88,0.88,66,0
0.26,0.26,-0.09,-0.09,-0.09,-0.09,0.7,0.7,0.26,0.26,0.18,0.18,0.0,0.0,0.35,0.35,0.62,0.62,-0.62,-0.62,-0.79,-0.79,0.7,0.7,0.53,0.53,0.09,0.09,0.0,0.0,0.18,0.18,0.7,0.7,0.09,0.09,0.09,0.09,-0.26,-0.26,1.05,1.05,-0.35,-0.35,0.62,0.62,-0.97,-0.97,0.53,0.53,-0.18,-0.18,0.7,0.7,0.18,0.18,0.35,0.35,0.7,0.7,-0.35,-0.35,1.14,1.14,7.03,7.03,-1.76,-1.76,1.23,1.23,0.62,0.62,10.02,10.02,10.02,10.02,-0.79,-0.79,8.7,8.7,2.29,2.29,1.32,1.32,6.77,6.77,3.78,3.78,0.62,0.62,4.39,4.39,8.35,8.35,10.72,10.72,1.23,1.23,0.44,0.44,65,0
