T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
-2.72333244,-2.82792447,-2.915883,-1.94952239,-1.60146274,-2.47829488,-2.78932946,-2.88665398,-2.96704759,-2.94686175,-1.94555176,-2.94686175,-2.99798518,-3.99984769,-3.92517066,-3.7820743,-2.86583509,-3.98821101,-3.99823944,-3.96299136,-2.91464736,-1.94715781,-3.99950653,-3.96577945,-4.9975328,-4.99725108,-5.99597036,-5.98388686,-6.99164296,-5.99977154,-7.99605248,-7.97309909,-4.95254732,-5.85089613,-5.95002697,-5.91943297,-7.97851582,-8.99274956,-7.92407571,-6.94480291,-5.95779305,-5.95779305,-5.95268821,-5.95002697,-5.95527691,-5.95527691,-5.95002697,-5.94305678,-5.94866917,-5.95779305,32,0
-0.51653333,-0.52437836,-0.95413383,-0.81114918,-1.60139613,-1.46814736,-2.50097063,-2.27772454,-2.00174516,-2.7524037,-0.96183897,-0.55699985,-0.7782479,-2.32849188,-1.99374534,-2.26562495,0.38119383,-0.4744742,0.78146226,2.6463806,2.58222608,3.70083887,2.68480308,2.50454359,2.61876623,2.65129689,1.70345387,0.27563736,-0.58637236,0.81984607,-0.63460931,0.99091734,0.47869186,1.66777164,1.8593371,2.74908819,0.91775463,0.60320799,-0.97957525,-0.97437006,-1.89553682,-0.57643232,-1.86211163,-1.85955297,-1.85955297,-1.85955297,-1.85955297,-1.85436771,-1.85697165,-1.85436771,33,0
-0.05756403,0.72657467,-0.06801529,0.24868989,0.79228964,0.97704557,0.7325429,0.92050485,0.92050485,0.61977903,0.82806033,1.97482761,0.96221799,1.98004732,0.99912283,0.99998629,0.99317065,0.91212012,0.95881973,0.93969262,0.99074784,0.9612617,0.86074203,0.7033946999999999,0.36325123,-0.70463421,-0.95579301,-0.97850899,-1.98792191,-1.96391743,-1.93003299,-1.89329852,-1.98004732,-1.83412015,-2.17972401,-1.52307662,-3.97735178,-3.99588228,-3.62523115,-2.94081352,-2.88088106,-2.80817861,-2.80633209,-2.7988606,-2.80633209,-2.81547907,-2.82086438,-2.81907786,-2.81184597,-2.80817861,33,0
-1.8111376,-1.68113321,-0.66653247,-0.83676431,-0.87461971,-1.86965135,-1.93541834,-1.94059145,-1.81847222,-1.71612981,-1.69424384,-0.99862953,-0.93849302,-0.9515944,-1.94874013,-0.9799247,-0.97437006,0.52547165,-1.9645745,-1.9562952,-1.97427253,-1.94715781,-3.98538118,-2.9881232000000004,-2.98668589,-3.99984769,-3.99649132,-4.97168972,-4.8407382000000005,-5.85089613,-4.98389439,-5.99177721,-4.99725108,-3.9639328,-3.90518403,-4.77896507,-4.99805058,-5.97982432,-5.97624639,-5.66625822,-5.71277636,-5.73167017,-5.73167017,-5.71277636,-5.71914401,-5.7408815,-5.74693497,-5.73475809,-5.71914401,-5.70309439,33,0
3.03253734,4.88891618,5.80625502,4.82047702,4.89433694,5.89567678,4.96378671,4.97260948,3.99677758,4.91785735,4.8318804,3.8148678,4.64566286,3.56085122,1.58457929,3.09977795,3.57661695,3.59823112,3.82521902,2.96306502,0.99357186,0.99981571,0.28401534,0.05059294,0.81411552,0.45895751,1.66002457,1.48395168,0.53783964,0.66000167,0.01047178,0.36487678,-0.45243471,-0.50452762,0.42606077,-0.9021174,0.21449233,0.97591676,0.46638664,-0.83484786,-0.54756322,-0.55048074,-0.54463904,-0.54024032,-0.54317445,-0.55048074,-0.55339155,-0.55484443,-0.55774511,-0.55774511,33,0
1.85955297,2.70549758,1.91763947,1.9591505,1.99992385,0.99002366,0.94664926,0.94721028,2.62892004,1.69609619,1.66017465,0.75699506,1.9819664,2.62385912,2.83994778,3.99677758,4.98782025,4.68029768,2.93660217,3.84117474,1.99794114,3.8372559,1.94952239,1.98288972,1.99824566,0.92520972,1.37129378,2.1976287,1.1500105,-0.18738131,-0.66262005,-0.50603376,-1.32000334,0.86863151,2.9763441000000004,1.35118042,0.20107792,-2.37686893,-1.96258533,-0.8703556999999998,-2.36403226,-0.79547348,-0.79758393,-0.79758393,-0.79758393,-0.79335334,-0.79335334,-0.79335334,-0.79228964,-0.78585689,33,0
-2.75326388,-5.55522351,-4.77896507,-3.68474162,-3.57348555,-3.70348234,-2.89504948,-4.99170908,-4.93979933,-3.79329462,-5.4244953,-4.75528258,-4.92703949,-3.97584382,-4.90135587,-5.80888584,-3.9081823,-4.90477578,-4.99314767,-3.9639328,-3.91546956,-4.93427858,-5.935633999999999,-5.99516637,-4.99850745,-5.9713644,-5.95527691,-6.92129467,-7.95904567,-6.97441707,-5.96143113,-5.94305678,-4.9761370000000005,-5.97807178,-5.9590239,-6.97441707,-7.99238577,-7.97851582,-7.9618192,-5.99516637,-6.99164296,-6.99164296,-6.99164296,-6.99436077,-6.99615151,-6.99436077,-6.99279399,-6.99040674,-6.99279399,-6.99385981,32,0
4.9252918,4.8479072,4.94726716,4.72484534,4.25118864,3.5695825,3.80499367,3.79270567,4.19188725,3.59455199,3.41886291,3.14523299,3.15153528,2.91901427,3.48184879,2.394141,2.22113259,1.67394664,1.37162301,2.22113259,1.40754545,1.13122675,2.25585987,1.48199408,1.65786702,1.70409207,0.80801911,0.8596455,-0.57051573,-1.13325654,-1.96970955,-1.00827743,-0.89212462,-0.92705098,0.47715876,-1.73726303,-0.35510696,-0.8151278000000001,-1.93974403,-0.87798298,-0.87630668,-0.87461971,-0.87461971,-0.87964857,-0.87630668,-0.86863151,-0.86863151,-0.87798298,-0.88376563,-0.88376563,31,0
5.39121239,5.70600359,4.57394423,4.13771726,4.60970114,6.35444235,7.45352982,7.62409729,7.38455341,5.74891036,4.45036492,3.93635417,3.06325751,3.75145594,3.60252135,5.40913501,5.49670009,4.34503117,3.42428141,3.90215204,2.1726978,4.52825748,5.8774515,4.53888739,4.35760246,2.35966681,1.79424475,-1.21672377,-1.45351097,0.85212155,0.06980963,-2.48459112,-0.22640643,0.06631036,0.71079947,1.79758809,1.97591973,1.31211806,-2.99691171,-1.97698777,-0.29070219,1.88875274,1.99761227,1.98867589,1.98792191,1.98714371,1.9842294,1.98593102,1.98714371,1.98792191,31,0
6.52836934,5.68826372,6.03207988,7.01404168,5.82218206,5.25900197,4.32192256,4.58861149,3.27938427,2.45145167,3.28630094,4.0120859,4.46196087,5.4538956,5.51616348,3.51057516,2.44041986,1.7171517,2.86946124,3.1779335,2.63963502,3.2590467,0.945477215,2.19185573,0.959287126,1.09504126,0.439533637,-1.07188948,-1.4578842,-0.171025247,1.20646753,0.444471484,-0.660190423,0.690596398,0.924546034,-0.6934018279999999,-3.96009463,-1.71253417,-0.981653697,-0.501510737,0.0279243606999999,0.0104719277,0.0244340017,0.0244340017,0.0034906567299999,-0.0069813028299999,-3.6739404000000005e-16,-0.0069813028299999,0.0104719277,0.0488643563,33,0
12.76546327,13.45090816,13.50380386,16.33324562,15.68433879,15.73714353,14.54168025,14.28992222,12.05339011,13.37696294,14.24958077,11.74640867,13.84981266,13.85336105,13.86033121,13.76556871,15.55791873,15.4329187,13.54174854,13.65209096,11.77551197,11.77146186,11.85874058,9.92757342,9.95396198,6.94480291,7.88326319,8.918848800000001,7.97076237,5.99283682,7.99989034,8.98596688,11.99641788,10.93974085,8.99451744,7.95617516,10.85541288,5.69325607,7.63392263,9.90509463,9.7957525,9.83254908,9.85407898,9.85703469,9.85407898,9.87413807,9.87688341,9.86855716,9.85703469,9.85407898,33,0
4.11491012,4.50886541,4.888907,5.14440217,6.01011307,5.42527736,3.80838308,3.99499497,4.87138958,5.70589457,5.99164577,6.49666822,5.77304668,5.99164577,5.00984914,3.00907512,3.55207907,5.38579689,3.89121574,2.64903512,3.42428141,2.97275201,3.51697351,2.47363358,3.67457298,3.60275556,1.74286024,1.77553481,1.98573945,-0.061085,0.43893724,0.13262071,0.15815807,1.97482761,-0.340419,-0.96961924,-3.56719012,-2.25724473,-3.99588228,-2.98668589,-2.97951195,-2.97763845,-2.97501349,-2.97763845,-2.97951195,-2.9763441000000004,-2.97007097,-2.97152839,-2.97763845,-2.97951195,33,0
