T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,Time,Label
-1.25835625,-1.00142058,-0.70542634,-0.44650023,-1.1980472,-1.69057815,-1.10437366,-0.81684074,-0.44342823,-0.56214394,-0.46349581,-0.56214394,-0.10993113,-0.03490614,-0.77008787,-1.30227262,-0.88712415,-0.30687611,-0.11866498,-0.54286229,-0.71051444,-0.45670174,-0.06282927,0.52210477,0.1570537999999999,-0.16577589,-0.21986225,-0.43942918,-0.34194839,-0.05235921,0.25128607,0.65550807,0.68722273,1.32929099,-0.77277358,-0.97995577,-0.58590558,0.36118613,1.09955637,0.87733263,0.71042381,0.71042381,0.7519994000000001,0.77277358,0.73121606,0.73121606,0.77277358,0.82466728,0.78315715,0.71042381,32,0
0.85626708,1.93003299,3.88453712,3.91689124,3.66545092,2.61620782,3.12172163,4.45106402,4.58181365,4.17423932,2.84163083,2.94783839,1.84237081,3.25240304,4.58530037,3.29650475,2.97568333,2.96224142,1.84100971,1.41303564,1.52712425,1.51782464,1.33859344,1.65144222,1.46357898,1.40378944,1.04797181,0.9612617,0.81004164,1.82424023,1.89664731,1.73726303,0.87798298,1.10387397,2.35432911,1.2010471,-0.39714789,0.79758393,0.20107792,0.22495105,0.63791862,0.8171449000000001,0.72975357,0.73624911,0.73624911,0.73624911,0.73624911,0.74921319,0.74273567,0.74921319,33,0
0.99834182,0.68708751,0.99768428,0.96858316,0.61014516,0.21303039,-0.68072087,-0.39073113,0.39073113,0.78477637,0.56063899,0.31631613,-0.27228025,-0.28180246,-0.04187565,-0.00523596,-0.11667074,-0.40992303,-0.28401534,-0.34202014,-0.13571557,-0.27563736,-0.50904142,-0.71079947,-0.93169123,-0.70957074,-0.29404033,-0.20620419,-0.21946862,-0.37819089,-0.52437836,-0.64453139,-0.28180246,0.79749814,2.06126253,1.2962398000000002,0.42505629,-0.18145195,-1.69047305,-0.59297202,0.83697332,1.05552495,1.06042453,1.07999042,1.06042453,1.0358946,1.02113865,1.02606043,1.04571614,1.05552495,33,0
-0.84839885,-1.08341642,-0.745476,-0.54756322,-0.48480962,-0.71021392,-0.50413872,-0.48384379,-0.83256158,-1.0270825,-1.06279716,-0.05233596,0.3452982,0.30735662,0.44990211,0.19936793,0.22495105,0.85081111,0.37476263,0.41582338,0.31976238,0.45670174,0.34166769,0.26668289,0.28232494,0.03490614,0.16750261,-0.53132036,-1.25190002,-1.32929099,-0.40099462,-0.31401574,-0.16577589,-0.53594474,0.86575846,1.47020163,0.13960819,-0.49163105,0.53336578,1.97319988,1.83417183,1.7742483,1.7742483,1.83417183,1.81421934,1.74421316,1.72416312,1.76424195,1.81421934,1.86405858,33,0
2.60839362,1.04809281,1.51241615,1.32778059,1.02248026,1.11399969,0.60068419,0.52264232,0.16052717,0.90259573,1.28566397,1.2028232,1.84873379,1.82217963,1.22029033,2.52811721,1.79103635,1.74720715,1.16948682,0.4693034,0.11320321,0.01919744,-0.95881973,-0.99871936,0.58070296,2.96468514,1.11549022,1.34085324,1.92632513,0.75126413,0.99994517,0.93105582,0.89179753,0.86339555,-1.95409115,-2.86115085,-2.99232235,-0.21814324,0.88458098,0.55048074,-0.83676431,-0.83484786,-0.83867057,-0.84151078,-0.83961986,-0.83484786,-0.83292124,-0.83195412,-0.83001229,-0.83001229,33,0
-0.73624911,-1.29625725,-0.56803069,-0.40215584,-0.01745307,0.14090123,0.3222657,0.32061299,1.44526102,1.05983853,2.49876372,0.6534206,0.26797237,-1.45442886,-0.96679709,-0.16052717,-0.34878237,-1.75920824,-0.61348816,1.11596442,0.09072598,-1.12936583,-0.44650023,-0.26105238,-0.08375131,-0.37945616,-2.66824912,-2.04216261,-1.63629943,-0.98228725,-0.74895572,-0.86251367,-1.50252827,-0.49545867,-0.3759997,1.47455467,0.97957525,1.83043549,0.38504393,0.49242356,1.84698443,0.6059884,0.60320799,0.60320799,0.60320799,0.60876143,0.60876143,0.60876143,0.61014516,0.6184084,33,0
1.19144367,2.26704472,1.47020163,1.5564958,1.79727599,1.51136315,0.78656754,0.28782013,0.77355193,1.26921863,2.56414718,1.54508497,0.8510475000000001,0.43893724,0.9882867,1.50228002,0.85212155,0.97117176,0.26167978,-0.53594474,-0.81798421,-0.80801911,-0.87649817,-0.24079076,-0.12216089,-0.5854974000000001,-0.73121606,-1.0467474,-0.80845038,-0.59791846,-0.67921928,-0.82466728,-0.4879145,-0.51250154,-0.70002442,-0.59791846,0.3489551,0.58590558,0.7806632,0.24079076,-0.34194839,-0.34194839,-0.34194839,-0.28092255,-0.23208625,-0.28092255,-0.31754092,-0.36635169,-0.31754092,-0.29312958,32,0
-6.30408603,-6.36378785,-6.28685515,-6.4556825,-6.77697537,-7.15947489,-7.03718858,-7.04381883,-6.81381547,-7.14697111,-7.2326604,-6.25359972,-7.35308271,-7.44844653,-7.20255017,-6.57784835,-6.63826559,-5.76176211,-6.86430261,-6.63826559,-6.85702675,-6.90799001,-6.62654482,-5.81409439,-6.80084384,-5.75291841,-4.93427858,-4.92554663,-3.95910492,-4.86987984,-4.5956767,-3.87083668,-2.8642824,-2.85316955,0.87881711,0.99091734,-0.93482568,-0.57928117,-0.48723002,-0.47869186,-0.48175367,-0.48480962,-0.48480962,-0.47562421,-0.48175367,-0.49545867,-0.49545867,-0.47869186,-0.46792981,-0.46792981,31,0
7.20658234,5.60727411,5.29896539,4.34503117,3.8406582,2.93616458,2.90600984,4.78258722,6.74302388,6.924596000000001,6.64787575,4.52825748,5.15911363,4.68258244,4.79810795,4.44311359,5.81259737,4.13771726,4.92689525,3.12621328,3.35847946,3.93635417,1.20646753,2.09726041,5.4782571,6.59029381,5.72544197,5.87533686,4.78406792,3.9081823,3.99939078,3.13477383,1.98714371,1.99890043,0.7033946999999999,0.87674229,0.30942077,-1.50941916,0.13608896,0.30252164,0.95681358,0.65773329,0.09769954,0.21252814,0.21946862,0.22640643,0.25066647,0.23680794,0.22640643,0.21946862,31,0
6.19519118,6.9745004,7.97583929,5.6394343000000005,5.48654682,6.02850714,6.73208626,6.55321635,7.29696093,6.55670532,6.18063315,6.92121136,6.64009828,7.15926133,7.11139511,6.05605994,5.48127275,6.78611745,6.38484081,6.23704567,5.38816545,5.03771919,4.90979356,4.49397023,5.92281759,6.91381838,6.9861871,7.9278656,7.86603926,6.99791043,5.8774515,4.98020533,3.94514241,1.87698605,0.38107038,-0.72055111,0.56360493,1.03306666,2.83484674,0.86515142,1.99980505,1.99997258,1.99985074,1.99985074,1.99999695,1.99998782,2.0,1.99998782,1.99997258,1.99940298,33,0
